item_id,domain,entropy_bin,H_standard,H_PPA,delta_H,TV_standard,TV_PPA,delta_TV,H_Pew
WORRY2c_W54,FACTS,HI,0.08462441733423605,0.49439434015535255,0.4097699228211165,0.4969494299912306,0.41771528792750656,0.07923414206372403,1.5753249359236114
TRACKGOV1a_W49,FACTS,HI,0.44782366538921536,0.6472949492334694,0.19947128384425405,0.4515366430260047,0.46274231678487,-0.011205673758865276,1.520225209575761
TRACKCO1b_W49,FACTS,HI,0.1599750310597432,0.5214037614990977,0.36142873043935453,0.5563233082706767,0.43232330827067667,0.124,1.48133447119845
WORRY2d_W54,FACTS,HI,0.42085366221379894,1.0115343123632108,0.5906806501494118,0.4339458668617411,0.2515932699341624,0.18235259692757866,1.5055784432603005
WORRY2a_W54,FACTS,HI,0.0,0.7669128374358041,0.7669128374358041,0.7333430956216136,0.4853430956216137,0.2479999999999999,1.590855081291044
RACESURV34d_W43,FACTS,LO,0.0,0.45735118234913247,0.45735118234913247,0.3618121009425357,0.18318637883855274,0.17862572210398295,1.0624757403404623
RACESURV44_W43,FACTS,LO,0.0,0.7902995174003932,0.7902995174003932,0.39543843427338576,0.15735860687317,0.23807982740021577,1.1053297269604683
RACESURV34c_W43,FACTS,LO,0.34660925477986726,0.7592022575707704,0.41259300279090316,0.6474529134337441,0.6234529134337441,0.02400000000000002,1.582794363293304
MARRDUR_W50,FACTS,LO,0.3150417144758994,0.6765707927719219,0.3615290782960225,0.4159500390320062,0.282507077490289,0.1334429615417172,1.3542296016868436
COMMYRS_W32,FACTS,LO,0.0728044748587274,0.48542214541755435,0.4126176705588269,0.39382103409636626,0.3488266367856572,0.04499439731070909,1.4343702557142584
SOCIETY_JBCLL_W92,VALUES,HI,0.3527835379541452,0.6269085225153415,0.27412498456119627,0.4680137999014292,0.4840137999014293,-0.01600000000000007,1.4710057347900714
RACESURV47e_W43,VALUES,HI,0.0196078226559464,0.8710896236026369,0.8514818009466905,0.6627519025875189,0.517455098934551,0.14529680365296793,1.545426230459873
SOCIETY_RHIST_W92,VALUES,HI,0.0,0.46684206152234287,0.46684206152234287,0.48950897258923287,0.39750897258923285,0.09200000000000003,1.5555901600524662
RACESURV5e_W43,VALUES,HI,0.0196078226559464,0.17944299849875414,0.15983517584280774,0.813351598173516,0.7533515981735162,0.05999999999999983,1.4853227139474527
RACESURV47f_W43,VALUES,HI,0.0196078226559464,0.0,-0.0196078226559464,0.5600401581989656,0.5640401581989656,-0.0040000000000000036,1.456078585464876
ECON5_g_W54,VALUES,LO,0.3989907748620473,0.7936168390965668,0.39462606423451946,0.7536656822209096,0.5736656822209096,0.17999999999999994,1.5226338410593605
NEWSPREFV2_W45,VALUES,LO,0.0196078226559464,0.0453935045001209,0.0257856818441745,0.4841932841932842,0.4721932841932842,0.01200000000000001,1.39673880931722
ECON5_i_W54,VALUES,LO,0.1481661718683913,0.5484987751031568,0.4003326032347655,0.7076428149024245,0.43694855115316383,0.2706942637492607,1.5833160639874657
ECON5_a_W54,VALUES,LO,0.0196078226559464,0.8419032955940133,0.8222954729380669,0.6900779829961887,0.47896921723834646,0.21110876575784226,1.5332871593195394
RACESURV47a_W43,VALUES,LO,0.06475123666761842,0.2575076403075912,0.1927564036399728,0.6136067961165049,0.5576966019417476,0.05591019417475729,1.5842950106030014
