item_key,TV_matched_argyle,TV_standard_argyle,TV_describe
SOCIETY_TRANS_W92,0.2838537549407114,0.3092094861660078,0.0983201581027668
SOCIETY_RELG_W92,0.36152562456798654,0.3715256245679865,0.082038115927718
SOCIETY_GUNS_W92,0.484029484029484,0.524029484029484,0.1116707616707616
SOCIETY_SSM_W92,0.41008570584178894,0.5000857058417889,0.216402324894099
LEGALIMMIGAMT_W92,0.42894105894105894,0.4644255744255744,0.1475524475524476
ETHNCMAJMOD_W41,0.5961661341853035,0.4210862619808306,0.1721246006389776
INTRMAR_W41,0.7057416267942584,0.3907655502392344,0.241786283891547
RACESURV5b_W43,0.687633262260128,0.677633262260128,0.0974718245507158
ECON5_d_W54,0.4273826291079812,0.4373826291079812,0.2866784037558685
ECON5_b_W54,0.3172502937720329,0.2972502937720329,0.4707990599294948
EAT1_W34,0.5955766192733017,0.5755766192733017,0.2640600315955766
EAT2_W34,0.7438735177865612,0.6238735177865612,0.1719367588932806
PP1_W49,0.41119304837952086,0.6820948802254581,0.3701033348990136
CAREREL_W27,0.6117264791464597,0.5217264791464598,0.1289039767216294
CARS4_W27,0.4014050387596899,0.4014050387596899,0.2485949612403101
COHABDUR_W50,0.3279115479115479,0.4434398034398035,0.1443488943488943
ECON5_a_W54,0.6340779829961887,0.4749692172383465,0.1450307827616534
ECON5_c_W54,0.4812283787745529,0.4712283787745528,0.2103781882145998
ECON5_e_W54,0.4105139500734215,0.368575624082232,0.1543318649045521
ECON5_f_W54,0.4998175397292526,0.5098175397292525,0.1206592113007651
ECON5_g_W54,0.6816656822209095,0.7116656822209095,0.0809509746012994
ECON5_h_W54,0.48199527744982296,0.4819952774498229,0.1680047225501771
ECON5_i_W54,0.6836428149024245,0.6536428149024246,0.1994086339444115
ECON5_j_W54,0.3669508967950603,0.3669508967950603,0.1724198765069096
ECON5_k_W54,0.6737758112094396,0.5337758112094395,0.1529498525073746
FAMSURV17_W50,0.16918784385643174,0.2192821587634268,0.2611082001571915
IMPREASONGUN_W26,0.4990583804143126,0.4990583804143126,0.0645951035781544
INDUSTRY_W27,0.609554794520548,0.124486301369863,0.2688356164383562
MARRDUR_W50,0.2156049960967994,0.1894691647150663,0.3205308352849336
ORIENTATIONMOD_W50,0.06692307692307688,0.0901011339258351,0.0598988660741649
RACESURV18a_W43,0.43897494305239176,0.2589749430523917,0.2249430523917995
RACESURV18b_W43,0.47972627737226275,0.6897262773722628,0.320316301703163
RACESURV18c_W43,0.6127316924946824,0.6127316924946824,0.2339562443026435
RACESURV18d_W43,0.4336323551771324,0.4236323551771324,0.2663676448228675
RACESURV18e_W43,0.547380410022779,0.527380410022779,0.3450645406226272
RACESURV18f_W43,0.6032699619771863,0.6132699619771863,0.4309885931558935
RACESURV2_W43,0.37285024154589375,0.1888405797101449,0.3157004830917875
RACESURV34a_W43,0.1638098140810728,0.3238098140810728,0.1266991770801585
RACESURV34b_W43,0.3287956204379562,0.3787956204379562,0.0812043795620438
RACESURV34c_W43,0.43834930777422787,0.4114529134337441,0.1514529134337441
RACESURV34d_W43,0.3618121009425357,0.3218121009425357,0.3881878990574642
RACESURV34e_W43,0.7476777828536622,0.6476777828536623,0.2211207552916095
RACESURV40_W43,0.3503076923076923,0.3303076923076923,0.2996923076923077
RACESURV41_W43,0.5533908321354416,0.5633908321354416,0.2910637278390033
RACESURV44_W43,0.39543843427338576,0.3954384342733857,0.3045615657266142
RACESURV45_W43,0.6507845860093734,0.5763478562749523,0.3363478562749522
RACESURV47a_W43,0.6596966019417476,0.5656067961165049,0.2256067961165048
RACESURV47b_W43,0.6403941782898726,0.3203941782898726,0.1087022437841115
RACESURV47c_W43,0.25318761384335153,0.2531876138433515,0.1075288403157255
RACESURV47d_W43,0.5979878048780488,0.5679878048780488,0.1003048780487804
AGEMAJ_W41,0.40761069006781014,0.4776106900678101,0.3060231352213802
CLASS_W32,0.30486625845955523,0.089758298420883,0.2131807927811795
COMMYRS_W32,0.17882663678565716,0.3388266367856571,0.2111733632143428
FAMNEAR_W32,0.32268632268632275,0.6368714168714169,0.2377149877149877
GAP21Q15_a_W82,0.6008517228029424,0.6008517228029423,0.162175764614789
GAP21Q15_b_W82,0.48760650658404336,0.4876065065840433,0.19713400464756
GAP21Q15_c_W82,0.5789404485692189,0.5789404485692189,0.1677107501933488
GAP21Q15_d_W82,0.5415695415695415,0.5415695415695415,0.2720668220668221
GAP21Q15_e_W82,0.6616563467492259,0.681656346749226,0.273219814241486
GAP21Q15_f_W82,0.6990668740279937,0.6990668740279937,0.1835147744945567
MADEUPSMCLICK_W45,0.5791172595520422,0.6091172595520422,0.1077075098814228
NEIGHINTERA_W32,0.6639142187781581,0.6739142187781582,0.1161650747882501
NEIGHINTERB_W32,0.39563791008505467,0.6856379100850547,0.2911907654921021
NEIGHINTERC_W32,0.3531396500495213,0.4731396500495213,0.2183558930340046
NEIGHINTERD_W32,0.12392095138160195,0.1126267925848198,0.2512941587967821
NEIGHSAMEA_W32,0.4802415458937198,0.3438164251207729,0.2478260869565217
NEIGHSAMEB_W32,0.46569105691056906,0.465691056910569,0.2443089430894309
NEIGHSAMEC_W32,0.35368421052631577,0.5190392648287385,0.1557644110275689
NEWSPREFV2_W45,0.3242669942669943,0.3242669942669943,0.2676085176085176
PWMAN2_W49,0.41487507263219053,0.4632655432887855,0.3013073794305636
RACESURV47e_W43,0.818751902587519,0.5269406392694064,0.1934550989345509
RACESURV47f_W43,0.5640401581989656,0.5640401581989656,0.161621539397627
RACESURV5a_W43,0.5366484184914841,0.3566484184914841,0.2133515815085158
RACESURV5c_W43,0.6956908094948265,0.4356786366402921,0.2543213633597078
RACESURV5d_W43,0.22932937052278615,0.1393293705227861,0.134194482548392
RACESURV5e_W43,0.817351598173516,0.787351598173516,0.1226027397260274
RACESURV5f_W43,0.4622954822954823,0.4722954822954823,0.2177045177045177
RACESURV5g_W43,0.6452984165651644,0.6152984165651645,0.3665651644336175
RACESURV5h_W43,0.4070910752360646,0.420682302771855,0.2263478525738654
RACESURV5i_W43,0.24468569693288794,0.210616459155785,0.2847859095050106
RACESURV5j_W43,0.6783824870781392,0.4583824870781392,0.2478868957129826
RACESURV5k_W43,0.3122158229766596,0.3122158229766596,0.2877841770233403
RACESURV5l_W43,0.19271623672230653,0.1927162367223065,0.5572837632776935
RACESURV9_W43,0.46015272357033765,0.2601527235703377,0.2720431019854064
RESTRICTWHO_W45,0.7438524860059268,0.8738524860059269,0.3915212380638788
ROMRELDUR_W50,0.32929359823399557,0.3648565121412803,0.1960264900662251
SMSHARE_W45,0.9217276912957684,0.9217276912957684,0.3055689541767156
SOCIETY_JBCLL_W92,0.38801379990142926,0.5680137999014292,0.2450714637752586
SOCIETY_RHIST_W92,0.41263064484322626,0.4526306448432261,0.0695720765135081
SOCIETY_WHT_W92,0.3819628385056335,0.5619628385056336,0.3465704684720301
TRACKCO1a_W49,0.6097980272428368,0.4808407703147017,0.1940112728980742
TRACKCO1b_W49,0.5343233082706768,0.5643233082706767,0.0962406015037594
TRACKGOV1a_W49,0.45153664302600466,0.4827423167848699,0.11725768321513
TRACKGOV1b_W49,0.6683962264150943,0.6483962264150943,0.2320754716981132
USMILSIZ_W92,0.4169647292598112,0.3662593144560357,0.2059612518628912
WORRY2a_W54,0.7133430956216136,0.4933430956216137,0.1521086542685606
WORRY2b_W54,0.45268132896583996,0.2226813289658399,0.1717126813289658
WORRY2c_W54,0.4937152879275065,0.197413037123648,0.1092955276235019
WORRY2d_W54,0.4111631309436723,0.4011631309436723,0.1025969275786393
WORRY2e_W54,0.5752379544782737,0.4352379544782737,0.1312001182382501
